Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
$..\linearbuff.asm:47:121$(),9,90,90,90.000000,810.000000,90,90,90.000000,810.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\linearbuff.asm,47,132778,
AIC3204_config(unsigned char),1,428,428,428.000000,428.000000,5626136,5626136,5626136.000000,5626136.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\main_checkpoint.c,70,131181,
"AIC3204_rset(unsigned short, unsigned short)",44,19,19,19.000000,836.000000,29075,129893,127601.681818,5614474.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\main_checkpoint.c,61,131147,
main(),1,-,-,304.000000,304.000000,-,-,5627254.000000,5627254.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\main_checkpoint.c,159,131630,
"USBSTK5515_GPIO_setOutput(unsigned short, unsigned short)",88,46,51,46.056818,4053.000000,46,51,46.056818,4053.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_gpio.c,61,131897,
USBSTK5515_I2C_close(),1,2,2,2.000000,2.000000,2,2,2.000000,2.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,41,132141,
USBSTK5515_I2C_init(),1,7,7,7.000000,7.000000,7,7,7.000000,7.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,24,132110,
USBSTK5515_I2C_reset(),1,18,18,18.000000,18.000000,27,27,27.000000,27.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,51,132150,
"USBSTK5515_I2C_write(unsigned short, unsigned char *, unsigned short)",44,135,27315,752.727273,33120.000000,29056,129874,127582.681818,5613638.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,69,132164,
USBSTK5515_init(),1,4,4,4.000000,4.000000,4,4,4.000000,4.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515.c,48,132498,
USBSTK5515_wait(unsigned long),89,1617,128017,62776.550562,5587113.000000,1617,128017,62776.550562,5587113.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515.c,21,132428,
USBSTK5515_waitusec(unsigned long),43,13,13,13.000000,559.000000,128030,128030,128030.000000,5505290.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515.c,34,132480,
