Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
AIC3204_config(unsigned char),1,428,428,428.000000,428.000000,5629211,5629211,5629211.000000,5629211.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\lin_buffer_tryy.c,66,131181,
"AIC3204_rset(unsigned short, unsigned short)",44,19,19,19.000000,836.000000,31677,129904,127671.568182,5617549.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\lin_buffer_tryy.c,57,131147,
linearbuff(),5,483,483,483.000000,2415.000000,483,483,483.000000,2415.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\lin_buffer_tryy.c,150,131630,
main(),1,-,-,186.000000,186.000000,-,-,5631816.000000,5631816.000000,C:\Users\Batch A\Documents\21d070020_21d070024\lin_buffer\Debug\..\lin_buffer_tryy.c,174,131763,
"USBSTK5515_GPIO_setOutput(unsigned short, unsigned short)",88,50,56,50.068182,4406.000000,50,56,50.068182,4406.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_gpio.c,61,132032,
USBSTK5515_I2C_close(),1,2,2,2.000000,2.000000,2,2,2.000000,2.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,41,132276,
USBSTK5515_I2C_init(),1,7,7,7.000000,7.000000,7,7,7.000000,7.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,24,132245,
USBSTK5515_I2C_reset(),1,18,18,18.000000,18.000000,27,27,27.000000,27.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,51,132285,
"USBSTK5515_I2C_write(unsigned short, unsigned char *, unsigned short)",44,138,29908,814.590909,35842.000000,31658,129885,127652.568182,5616713.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515_i2c.c,69,132299,
USBSTK5515_init(),1,4,4,4.000000,4.000000,4,4,4.000000,4.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515.c,48,132633,
USBSTK5515_wait(unsigned long),89,1617,128017,62776.550562,5587113.000000,1617,128017,62776.550562,5587113.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515.c,21,132563,
USBSTK5515_waitusec(unsigned long),43,13,13,13.000000,559.000000,128030,128030,128030.000000,5505290.000000,C:\CCStudio_v3.3\boards\usbstk5515_v1\lib\Debug\..\bsl\usbstk5515.c,34,132615,
